S.no,store name (store code),Mail-id
1,CSB,btqcsb@titan.co.in
2,TKC,btqtkc@titan.co.in
3,GHL,btqghl@titan.co.in
4,KBG,btqkbg@titan.co.in
5,BBK,btqbbk@titan.co.in
6,KBB,btqkbb@titan.co.in
7,HWR,btqhwr@titan.co.in
8,KDH,btqkdh@titan.co.in
9,KCP,btqkcp@titan.co.in
10,KSM,btqksm@titan.co.in
11,HBR,btqhbr@titan.co.in
12,MDN,btqmdn@titan.co.in
13,STB,btqstb@titan.co.in
14,ASL,btqasl@titan.co.in
15,DTB,btqdtb@titan.co.in
16,SRP,btqsrp@titan.co.in
17,TBU,btqtbu@titan.co.in
18,BHU,btqbhu@titan.co.in
19,BRP,btqbrp@titan.co.in
20,CTB,btqctb@titan.co.in
21,RKL,btqrkl@titan.co.in
22,SBP,btqsbp@titan.co.in
23,GWH,btqgwh@titan.co.in
24,GUH,btqguh@titan.co.in
25,SCL,btqscl@titan.co.in
26,DBR,btqdbr@titan.co.in
27,ANG,btqang@titan.co.in
28,ATB,btqatb@titan.co.in
29,KGR,btqkgr@titan.co.in
30,IMF,btqimf@titan.co.in
31,SDP,btqsdp@titan.co.in
32,BAL,btqbal@titan.co.in
33,BHP,btqbhp@titan.co.in
34,JOR,btqjor@titan.co.in
35,JGD,btqjgd@titan.co.in
36,RJH,btqrjh@titan.co.in
37,KRH,btqkrh@titan.co.in
38,BWN,btqbwn@titan.co.in
39,RTB,btqrtb@titan.co.in
40,KSL,btqksl@titan.co.in
41,CCB,btqccb@titan.co.in
42,PUR,btqpur@titan.co.in
43,KSC,btqksc@titan.co.in
44,JJP,btqjjp@titan.co.in
45,CNT,btqcnt@titan.co.in
46,APB,btqapb@titan.co.in
47,PRL,btqprl@titan.co.in
48,JEP,btqjep@titan.co.in
49,TZK,btqtzk@titan.co.in
50,DIM,btqdim@titan.co.in
51,BDK,btqbdk@titan.co.in
52,KEO,btqkeo@titan.co.in
53,SUI,btqsui@titan.co.in
54,BWP,btqbwp@titan.co.in
55,CHD,btqchd@titan.co.in
56,GUS,btqgus@titan.co.in
57,BAR,btqbar@titan.co.in
58,BHK,btqbhk@titan.co.in
59,DNK,btqdnk@titan.co.in
60,CTK,btqctk@titan.co.in
61,BRU,btqbru@titan.co.in
62,SGU,btqsgu@titan.co.in
63,BRH,btqbrh@titan.co.in
64,CSK,btqcsk@titan.co.in
65,ITN,btqitn@titan.co.in
66,BRK,btqbrk@titan.co.in
67,TML,btqtml@titan.co.in
68,TPT,btqtpt@titan.co.in
69,PNA,btqpna@titan.co.in
70,TPA,btqtpa@titan.co.in
71,PTN,btqptn@titan.co.in
72,PTA,btqpta@titan.co.in
73,MPR,btqmpr@titan.co.in
74,BGS,btqbgs@titan.co.in
75,BPR,btqbpr@titan.co.in
76,BPT,btqbpt@titan.co.in
77,GAY,btqgay@titan.co.in
78,ARA,btqara@titan.co.in
79,JSD,btqjsd@titan.co.in
80,JMD,btqjmd@titan.co.in
81,TRC,btqtrc@titan.co.in
82,RCH,btqrch@titan.co.in
83,DHA,btqdha@titan.co.in
84,BOK,btqbok@titan.co.in
85,DEO,btqdeo@titan.co.in
86,RMG,btqrmg@titan.co.in
87,MKI,btqmki@titan.co.in
88,HZB,btqhzb@titan.co.in
89,DBG,btqdbg@titan.co.in
90,SWN,btqswn@titan.co.in
91,PRN,btqprn@titan.co.in
92,HJP,btqhjp@titan.co.in
93,BTH,btqbth@titan.co.in
94,CPR,btqcpr@titan.co.in
95,BIH,btqbih@titan.co.in
96,DMK,btqdmk@titan.co.in
97,DHN,btqdhn@titan.co.in
98,SAM,btqsam@titan.co.in
99,RCI,btqrci@titan.co.in
100,MZK,btqmzk@titan.co.in
101,DTO,btqdto@titan.co.in
102,SHS,btqshs@titan.co.in
103,SSM,btqssm@titan.co.in
104,SMI,btqsmi@titan.co.in
105,PTS,btqpts@titan.co.in
106,BUX,btqbux@titan.co.in
107,AUR,btqaur@titan.co.in
108,PTB,btqptb@titan.co.in
109,MDB,btqmdb@titan.co.in
110,GIR,btqgir@titan.co.in
111,NWD,btqnwd@titan.co.in
112,KTH,btqkth@titan.co.in
113,RAH,btqrah@titan.co.in
114,JHN,btqjhn@titan.co.in
115,MUN,btqmun@titan.co.in
116,KSN,btqksn@titan.co.in
117,KDR,btqkdr@titan.co.in
118,RXL,btqrxl@titan.co.in
119,PTM,btqptm@titan.co.in
120,PRA,btqpra@titan.co.in
121,RGT,btqrgt@titan.co.in
122,DET,btqdet@titan.co.in
123,DSK,btqdsk@titan.co.in
124,RHN,btqrhn@titan.co.in
125,CPD,btqcpd@titan.co.in
126,SEB,btqseb@titan.co.in
127,DKN,btqdkn@titan.co.in
128,KBT,btqkbt@titan.co.in
129,DWR,btqdwr@titan.co.in
130,DPV,btqdpv@titan.co.in
131,DDW,btqddw@titan.co.in
132,DKC,btqdkc@titan.co.in
133,GZB,btqgzb@titan.co.in
134,GZT,btqgzt@titan.co.in
135,NOD,btqnod@titan.co.in
136,TNO,btqtno@titan.co.in
137,GST,btqgst@titan.co.in
138,GMG,btqgmg@titan.co.in
139,GRG,btqgrg@titan.co.in
140,DSH,btqdsh@titan.co.in
141,DLV,btqdlv@titan.co.in
142,JKP,btqjkp@titan.co.in
143,DLJ,btqdlj@titan.co.in
144,DIP,btqdip@titan.co.in
145,NOG,btqnog@titan.co.in
146,NOM,btqnom@titan.co.in
147,GAM,btqgam@titan.co.in
148,GGW,btqggw@titan.co.in
149,DGR,btqdgr@titan.co.in
150,GZR,btqgzr@titan.co.in
151,SEP,btqsep@titan.co.in
152,NDS,btqnds@titan.co.in
153,LKO,btqlko@titan.co.in
154,LGM,btqlgm@titan.co.in
155,LKH,btqlkh@titan.co.in
156,LKW,btqlkw@titan.co.in
157,PXL,btqpxl@titan.co.in
158,LKI,btqlki@titan.co.in
159,LKS,btqlks@titan.co.in
160,KAT,btqkat@titan.co.in
161,KBR,btqkbr@titan.co.in
162,KPR,btqkpr@titan.co.in
163,AGA,btqaga@titan.co.in
164,AGS,btqags@titan.co.in
